Electoral District Number/Numero de circonscription,Candidate/Candidat,Name,,Party,,
48014,Heather MacKenzie NDP-New Democratic Party/NPD-Nouveau Parti démocratique,Heather,MacKenzie,NDP-New,Democratic,
48014,Brock Crocker People's Party - PPC/Parti populaire - PPC,Brock,Crocker,People's,Party,
48014,Valerie Keefe Libertarian/Libertarien,Valerie,Keefe,Libertarian/Libertarien,,
48014,Merryn Edwards Marxist-Leninist/Marxiste-Léniniste,Merryn,Edwards,Marxist-Leninist/Marxiste-Léniniste,,
48015,Blake Desjarlais NDP-New Democratic Party/NPD-Nouveau Parti démocratique,Blake,Desjarlais,NDP-New,Democratic,
48015,Kerry Diotte ** Conservative/Conservateur,Kerry,Diotte,**,Conservative/Conservateur,
48015,Habiba Mohamud Liberal/Libéral,Habiba,Mohamud,Liberal/Libéral,,
48015,Thomas Matty People's Party - PPC/Parti populaire - PPC,Thomas,Matty,People's,Party,
48015,Heather Lau Green Party/Parti Vert,Heather,Lau,Green,Party/Parti,
48015,Morgan Watson Libertarian/Libertarien,Morgan,Watson,Libertarian/Libertarien,,
48015,Alex Boykowich Communist/Communiste,Alex,Boykowich,Communist/Communiste,,
48015,Mary Joyce Marxist-Leninist/Marxiste-Léniniste,Mary,Joyce,Marxist-Leninist/Marxiste-Léniniste,,
48016,Ziad Aboultaif ** Conservative/Conservateur,Ziad,Aboultaif,**,Conservative/Conservateur,
48016,Charmaine St. Germain NDP-New Democratic Party/NPD-Nouveau Parti démocratique,Charmaine,St.,Germain,NDP-New,
48016,Donna Lynn Smith Liberal/Libéral,Donna,Lynn,Smith,Liberal/Libéral,
48016,Martin Halvorson People's Party - PPC/Parti populaire - PPC,Martin,Halvorson,People's,Party,
48016,Andre Vachon Marxist-Leninist/Marxiste-Léniniste,Andre,Vachon,Marxist-Leninist/Marxiste-Léniniste,,
48017,Tim Uppal ** Conservative/Conservateur,Tim,Uppal,**,Conservative/Conservateur,
48017,Ben Henderson Liberal/Libéral,Ben,Henderson,Liberal/Libéral,,
48017,Nigel Logan NDP-New Democratic Party/NPD-Nouveau Parti démocratique,Nigel,Logan,NDP-New,Democratic,
48017,Paul Edward McCormack People's Party - PPC/Parti populaire - PPC,Paul,Edward,McCormack,People's,PPC
48017,Naomi Rankin Communist/Communiste,Naomi,Rankin,Communist/Communiste,,
48018,Matt Jeneroux ** Conservative/Conservateur,Matt,Jeneroux,**,Conservative/Conservateur,
48018,Tariq Chaudary Liberal/Libéral,Tariq,Chaudary,Liberal/Libéral,,
48018,Shawn Gray NDP-New Democratic Party/NPD-Nouveau Parti démocratique,Shawn,Gray,NDP-New,Democratic,
48018,Jennifer Peace People's Party - PPC/Parti populaire - PPC,Jennifer,Peace,People's,Party,
48018,Melanie Hoffman Green Party/Parti Vert,Melanie,Hoffman,Green,Party/Parti,
48019,Heather McPherson ** NDP-New Democratic Party/NPD-Nouveau Parti démocratique,Heather,McPherson,**,NDP-New,
48019,Tunde Obasan Conservative/Conservateur,Tunde,Obasan,Conservative/Conservateur,,
48019,Hibo Mohamed Liberal/Libéral,Hibo,Mohamed,Liberal/Libéral,,
48019,Wes Janke People's Party - PPC/Parti populaire - PPC,Wes,Janke,People's,Party,
48019,Kelly Green Green Party/Parti Vert,Kelly,Green,Green,Party/Parti,
48019,Malcolm Stinson Libertarian/Libertarien,Malcolm,Stinson,Libertarian/Libertarien,,
48020,Kelly McCauley ** Conservative/Conservateur,Kelly,McCauley,**,Conservative/Conservateur,
48020,Sandra Hunter NDP-New Democratic Party/NPD-Nouveau Parti démocratique,Sandra,Hunter,NDP-New,Democratic,
48020,Adam Wilson Brown Liberal/Libéral,Adam,Wilson,Brown,Liberal/Libéral,
48020,Brent Kinzel People's Party - PPC/Parti populaire - PPC,Brent,Kinzel,People's,Party,
48020,Peggy Morton Marxist-Leninist/Marxiste-Léniniste,Peggy,Morton,Marxist-Leninist/Marxiste-Léniniste,,
48021,Mike Lake ** Conservative/Conservateur,Mike,Lake,**,Conservative/Conservateur,
48021,Hugo Charles NDP-New Democratic Party/NPD-Nouveau Parti démocratique,Hugo,Charles,NDP-New,Democratic,
48021,Ron Thiering Liberal/Libéral,Ron,Thiering,Liberal/Libéral,,
48021,Tyler Beauchamp People's Party - PPC/Parti populaire - PPC,Tyler,Beauchamp,People's,Party,
48021,Travis Calliou VCP/CAC,Travis,Calliou,VCP/CAC,,
48022,John Barlow ** Conservative/Conservateur,John,Barlow,**,Conservative/Conservateur,
48022,Michelle Traxel NDP-New Democratic Party/NPD-Nouveau Parti démocratique,Michelle,Traxel,NDP-New,Democratic,
48022,Daniel Hunter People's Party - PPC/Parti populaire - PPC,Daniel,Hunter,People's,Party,
48022,Paula Shimp Liberal/Libéral,Paula,Shimp,Liberal/Libéral,,
48022,Josh Wylie Maverick Party/Maverick Party,Josh,Wylie,Maverick,Party/Maverick,
48022,Brett Rogers Green Party/Parti Vert,Brett,Rogers,Green,Party/Parti,
48023,Laila Goodridge Conservative/Conservateur,Laila,Goodridge,Conservative/Conservateur,,
48023,Shawn McDonald People's Party - PPC/Parti populaire - PPC,Shawn,McDonald,People's,Party,
48023,Garnett Robinson NDP-New Democratic Party/NPD-Nouveau Parti démocratique,Garnett,Robinson,NDP-New,Democratic,
48023,Abdifatah Abdi Liberal/Libéral,Abdifatah,Abdi,Liberal/Libéral,,
48023,Jonathan Meyers Maverick Party/Maverick Party,Jonathan,Meyers,Maverick,Party/Maverick,
48023,Brian Deheer Green Party/Parti Vert,Brian,Deheer,Green,Party/Parti,
48023,Hughie Shane Whitmore VCP/CAC,Hughie,Shane,Whitmore,VCP/CAC,
48024,Chris Warkentin ** Conservative/Conservateur,Chris,Warkentin,**,Conservative/Conservateur,
48024,Jennifer Villebrun NDP-New Democratic Party/NPD-Nouveau Parti démocratique,Jennifer,Villebrun,NDP-New,Democratic,
48024,Shawn McLean People's Party - PPC/Parti populaire - PPC,Shawn,McLean,People's,Party,
48024,Dan Campbell Liberal/Libéral,Dan,Campbell,Liberal/Libéral,,
48024,Ambrose Ralph Maverick Party/Maverick Party,Ambrose,Ralph,Maverick,Party/Maverick,
48024,Donovan Eckstrom Parti Rhinocéros Party/Parti Rhinocéros Party,Donovan,Eckstrom,Parti,Rhinocéros,
48025,Shannon Stubbs ** Conservative/Conservateur,Shannon,Stubbs,**,Conservative/Conservateur,
48025,Ann McCormack People's Party - PPC/Parti populaire - PPC,Ann,McCormack,People's,Party,
48025,Des Bissonnette NDP-New Democratic Party/NPD-Nouveau Parti démocratique,Des,Bissonnette,NDP-New,Democratic,
48025,John Turvey Liberal/Libéral,John,Turvey,Liberal/Libéral,,
48025,Fred Sirett Maverick Party/Maverick Party,Fred,Sirett,Maverick,Party/Maverick,
48025,Kira Brunner Green Party/Parti Vert,Kira,Brunner,Green,Party/Parti,
